Tavg,Tmed,Tmax,Tmin,Load
59,61,66,24,1142253
60,60,70,23,1229494
60,61,70,22,1263747
62,63,73,34,1212010
63,64,69,39,1136064
64,66,70,43,1097296
64,66,72,47,1054309
64,67,73,49,1023492
64,65,77,50,1025361
62,64,70,50,1074447
60,61,77,51,1181899
58,58,74,47,1327549
56,57,73,45,1344816
55,55,73,45,1325391
53,53,72,44,1266657
52,52,72,43,1178158
51,51,61,43,1084087
51,50,71,41,1023048
50,49,70,40,1012136
49,47,70,40,1027816
48,46,69,39,1055278
46,46,69,36,1139646
45,45,69,35,1332646
45,44,69,36,1600928
44,43,69,36,1699503
47,46,68,38,1646057
49,48,68,37,1525405
52,50,72,42,1442199
53,52,73,44,1416043
54,53,75,44,1383722
54,53,76,45,1343702
54,53,76,46,1340583
53,52,77,45,1378452
52,50,77,44,1484364
50,48,77,43,1732290
47,46,74,39,2000201
45,44,73,38,2059685
44,43,69,37,2045227
42,41,65,36,1979832
40,40,61,32,1857638
40,39,57,29,1749156
37,38,54,28,1715610
37,37,69,27,1751294
36,36,69,26,1820746
35,35,69,25,1912470
34,32,68,24,2040578
33,31,68,25,2278927
32,30,68,22,2563113
32,32,68,23,2539939
37,36,68,25,2436897
40,40,67,24,2198213
44,43,73,32,1931112
46,45,75,35,1717011
49,48,77,38,1547420
51,49,79,40,1405947
52,51,80,42,1313752
52,52,81,42,1298829
51,50,81,42,1402963
47,46,81,40,1681690
42,41,77,32,2036990
40,39,76,30,2184852
38,38,75,28,2270117
37,34,74,26,2272113
35,33,74,27,2195409
35,34,74,25,2117630
35,34,72,25,2110566
33,33,71,24,2162937
33,33,71,24,2230965
32,31,70,24,2311682
31,31,70,23,2415660
31,31,69,23,2612251
30,29,69,23,2753814
31,31,69,21,2758670
38,36,69,28,2558234
45,45,68,27,2311710
51,51,72,41,1904962
54,55,74,37,1597640
57,58,75,40,1374737
59,60,76,43,1208446
60,61,77,45,1100855
60,62,78,45,1073283
60,61,78,45,1126684
55,55,78,46,1323257
51,52,75,43,1599114
49,49,74,40,1694863
48,48,69,39,1734967
45,46,65,36,1716726
44,44,60,35,1630621
43,44,56,32,1531129
43,43,64,34,1485007
41,42,65,31,1501558
40,40,65,30,1543441
40,39,65,29,1597884
39,38,65,28,1684665
39,38,65,28,1878816
38,38,66,28,2155825
39,38,66,27,2192188
47,48,66,27,1993821
55,57,66,26,1664232
61,62,68,43,1377462
65,66,70,50,1179776
67,68,71,56,1051288
68,70,71,61,970851
69,70,72,64,925444
68,69,73,64,921797
67,68,71,62,965703
61,63,67,55,1095213
57,57,66,48,1327251
54,55,63,46,1395224
52,53,61,41,1397333
50,51,59,39,1364713
49,50,59,37,1306195
47,47,57,37,1215066
47,46,59,35,1170991
47,46,69,36,1189108
46,45,68,34,1235406
45,45,67,35,1297160
45,44,66,33,1389561
45,45,65,33,1591082
45,45,64,32,1877420
46,46,63,32,1932953
53,54,62,45,1750834
60,61,66,47,1470029
65,66,70,58,1232189
69,70,73,62,1070872
70,72,74,64,984656
71,72,76,68,935249
70,71,73,66,902917
70,70,73,66,888105
68,68,72,65,924987
65,64,73,61,1022795
61,62,66,56,1176113
59,59,64,53,1181676
57,58,63,51,1155680
55,56,62,49,1124342
54,55,61,48,1074021
54,54,60,46,998715
53,54,59,46,933008
52,52,59,45,913734
51,52,58,44,917856
51,52,57,44,934473
51,52,57,43,971146
50,51,58,42,1041150
50,52,57,42,1153956
51,50,57,41,1289000
54,56,59,41,1371760
59,61,67,39,1305861
63,66,71,53,1187211
67,69,73,59,1094158
68,69,74,62,1035337
69,72,74,63,987321
70,70,75,65,962229
69,69,72,64,959446
67,68,72,53,992306
64,65,73,52,1057273
63,63,68,53,1170120
62,63,67,53,1148402
61,62,66,50,1103083
60,61,65,49,1039785
59,61,67,46,957059
59,62,67,44,866163
58,61,67,42,778298
58,62,68,44,732621
56,59,67,41,728376
53,55,67,40,761314
50,52,67,36,822993
48,49,68,35,919317
47,47,61,34,1074777
46,46,61,34,1300952
49,51,62,37,1479629
52,53,62,35,1445529
55,56,66,41,1327375
58,58,70,48,1203620
60,60,71,53,1119967
62,61,73,56,1051131
64,63,74,57,995557
63,63,75,56,977045
62,62,73,55,1016163
58,59,72,49,1140482
53,53,68,39,1343934
53,53,66,44,1407109
52,52,64,42,1416455
50,50,63,43,1369890
50,50,62,43,1265295
50,51,62,39,1152141
49,51,61,39,1077833
50,50,61,40,1048355
50,51,61,41,1038939
51,52,64,42,1045528
52,52,65,40,1088484
52,52,68,40,1226920
53,53,68,39,1439505
53,54,70,39,1461928
55,55,72,38,1398420
56,55,72,37,1364271
58,59,73,48,1339854
59,61,71,49,1309059
60,63,71,50,1266674
61,63,72,49,1218944
62,64,73,49,1178613
62,65,75,49,1163059
62,65,75,49,1207708
61,65,73,50,1331742
61,64,73,50,1433644
61,65,72,50,1398951
61,66,72,50,1307107
61,63,72,50,1191178
60,62,72,49,1051008
59,60,71,43,920290
58,60,71,47,832287
58,59,72,45,800842
57,59,72,46,794056
57,57,70,45,804508
56,57,68,44,848281
56,56,67,47,985965
56,56,67,46,1210402
55,55,67,46,1266755
55,55,67,47,1221801
56,56,69,50,1188148
57,57,69,49,1139761
59,59,68,52,1069803
61,61,70,56,1007171
63,62,73,52,946201
64,63,71,52,903227
64,65,72,52,898921
63,64,71,52,940065
59,61,68,55,1066053
55,55,66,47,1291288
52,53,65,43,1362834
51,52,63,41,1372943
49,50,60,39,1348140
47,49,62,36,1264224
47,49,59,35,1181630
45,45,58,34,1139636
44,45,57,32,1161594
43,44,56,32,1211440
43,42,56,31,1279885
43,43,56,30,1387560
42,44,56,29,1620009
41,43,55,29,1941972
42,43,57,28,2022141
47,50,61,28,1856109
53,53,68,27,1579222
58,60,70,41,1339850
62,63,72,47,1163226
64,65,73,52,1045616
66,66,74,57,965621
67,67,76,59,920716
67,68,76,58,915905
66,66,77,57,963614
61,62,75,50,1089603
55,55,69,46,1317413
53,54,67,42,1387718
51,53,66,39,1408569
50,50,65,37,1394373
48,48,64,35,1310215
48,48,64,35,1207816
47,47,61,33,1157032
47,49,62,33,1165010
46,46,63,31,1191872
46,49,63,31,1219253
46,47,63,30,1272070
46,50,62,30,1429416
46,50,61,29,1664287
47,51,62,29,1673358
52,55,64,30,1543912
57,55,72,28,1396091
62,61,75,43,1260795
65,64,76,49,1138936
67,66,77,54,1042981
68,69,77,58,962259
70,71,78,61,914012
70,69,79,61,909260
68,68,79,61,955375
65,65,80,56,1076532
62,62,73,46,1272619
59,60,70,44,1319115
57,58,69,40,1297496
56,57,68,40,1235486
55,56,69,38,1132252
54,55,70,37,1016009
53,55,70,35,935651
53,56,70,36,914476
52,56,70,35,925194
52,55,67,35,946968
52,54,66,35,1008075
51,54,66,35,1182357
50,50,65,36,1457934
49,52,63,38,1533563
53,56,63,39,1425688
58,61,66,38,1253286
64,65,69,49,1111177
67,68,72,54,1008873
69,70,74,58,947300
72,72,76,62,907519
72,73,78,64,887564
72,72,79,65,890738
71,72,79,65,914941
67,68,80,63,971341
62,63,71,57,1104106
60,61,68,56,1115896
58,59,65,50,1076323
56,56,64,51,1030612
55,55,63,49,967840
55,54,62,48,888521
54,54,61,48,821502
53,53,60,46,801357
52,53,60,45,807927
52,53,59,45,830015
51,52,59,45,872487
51,51,59,44,960277
50,50,62,43,1081924
51,51,63,43,1236745
57,59,64,43,1303823
62,65,72,41,1216896
69,71,76,55,1102655
73,75,79,61,1021131
75,77,80,65,976952
77,77,83,68,949572
77,78,82,69,942445
77,78,82,69,951184
76,76,81,67,969064
73,74,81,66,1002625
70,70,77,65,1105749
68,70,75,62,1097992
68,69,73,59,1030608
66,69,72,58,957411
65,68,71,58,875731
64,67,70,57,780039
63,66,70,54,689188
62,66,70,46,630602
61,65,70,45,605072
60,64,70,44,597015
59,62,68,42,607643
58,62,68,41,640267
58,61,67,45,710241
58,62,69,41,821282
59,63,70,42,970171
60,63,72,45,1050116
63,64,79,49,1048437
65,64,79,51,1021913
68,67,79,56,1013959
70,72,82,57,997106
71,72,82,58,985562
71,72,82,57,984092
71,72,82,58,1008406
68,70,82,59,1052504
66,67,78,55,1160505
64,65,76,54,1148018
64,64,75,54,1076734
63,64,74,54,985805
62,63,73,55,875512
63,64,73,56,766893
62,63,72,57,671685
62,63,72,54,625495
62,63,70,55,607791
62,63,69,54,603890
62,62,68,53,627527
62,63,68,52,700254
63,64,68,51,802683
64,65,69,51,886472
65,67,71,51,955990
67,67,74,49,1023997
69,72,78,58,1056098
72,73,80,62,1063283
74,76,83,65,1055976
75,79,84,66,1045362
76,78,84,67,1044770
76,75,83,68,1051432
75,74,83,67,1082162
72,72,83,65,1151729
70,72,77,61,1273992
68,70,75,59,1267585
67,70,73,56,1179112
67,69,72,55,1073955
65,67,72,53,936436
65,67,71,51,800473
63,65,70,48,693049
63,65,71,48,649226
62,65,71,47,630062
62,66,72,46,627931
62,66,70,46,656070
61,66,68,45,766944
61,66,70,44,963857
62,66,70,44,1009685
63,64,72,44,977505
64,66,74,42,970813
67,70,76,57,967950
69,72,78,60,963550
70,72,78,62,957317
71,73,80,62,957327
72,73,81,64,954609
72,73,82,62,971096
71,72,82,60,1013781
70,71,83,60,1107548
68,70,78,59,1245605
67,69,76,59,1253752
67,69,75,59,1179464
66,69,74,59,1070532
66,68,73,59,934971
65,67,73,59,798787
65,66,75,57,695404
65,66,75,53,651248
65,66,75,57,635257
64,64,73,57,631757
64,66,72,57,657751
65,65,71,59,765695
65,66,71,60,957938
65,66,70,61,995774
67,68,75,62,951113
71,73,77,64,952395
74,76,79,65,974223
76,79,81,61,998993
78,80,83,62,1025372
78,81,84,63,1051169
78,81,84,64,1078078
78,80,84,65,1115396
77,78,83,65,1157794
74,74,84,65,1198090
71,72,78,63,1297211
69,69,76,62,1292556
68,69,75,60,1205048
66,67,73,57,1093792
65,65,73,57,939406
65,65,72,56,792078
64,66,72,57,680974
64,66,72,58,629715
64,64,70,58,603404
63,64,70,57,598648
63,64,70,56,623602
63,64,70,58,732516
63,63,70,57,934543
63,64,69,55,972056
66,66,73,60,930245
70,71,77,60,927902
75,75,79,67,948246
77,79,81,70,976104
78,79,84,70,1010519
79,80,83,69,1035336
79,81,84,69,1063524
78,79,84,70,1092642
78,79,84,69,1130735
75,75,84,68,1164874
72,72,77,67,1268607
70,71,74,66,1278494
69,69,73,64,1194192
67,68,73,61,1075585
67,68,72,61,934011
66,68,72,59,785734
66,67,72,59,678743
65,66,72,57,632592
64,66,72,54,608115
64,65,78,56,602997
63,64,70,55,625636
63,64,69,55,724773
63,64,70,56,916194
64,64,69,57,965818
67,68,72,61,938001
70,70,75,61,936414
73,74,79,59,960966
74,77,82,59,987601
75,79,82,62,1015747
75,77,82,63,1020774
74,77,83,62,1019386
73,76,84,62,1021545
72,76,82,60,1041242
70,73,79,61,1091228
68,69,76,60,1171086
67,70,75,59,1147790
66,66,73,58,1079353
65,66,73,57,1005193
64,64,72,55,912254
65,66,72,56,807260
63,64,72,53,706152
63,63,72,56,649530
62,63,72,56,620498
62,63,72,56,607074
61,63,71,55,612919
61,62,71,55,646093
61,61,70,54,719149
61,62,70,53,821307
62,64,71,53,943706
64,64,75,52,1026691
66,65,80,54,1066855
67,66,82,53,1066882
68,67,83,54,1055811
69,70,84,57,1040382
70,70,85,58,1029277
69,70,84,58,1030036
68,70,82,58,1047808
66,67,79,57,1087030
65,64,76,56,1167511
64,63,75,56,1148090
63,61,74,55,1077381
62,61,72,56,1005235
62,61,71,56,920595
62,61,70,56,822873
61,60,69,56,725228
61,60,69,55,671188
60,59,69,55,643276
60,59,68,54,630412
60,59,67,53,634179
60,59,67,53,659531
60,59,67,52,720697
60,60,68,52,820394
60,61,69,51,954676
62,63,70,54,1032044
65,64,76,56,1039004
67,66,79,59,1026668
68,69,80,60,1028647
69,71,81,61,1015933
70,70,84,61,997074
70,68,82,60,1001720
70,68,81,60,1027409
68,67,81,60,1086390
67,66,77,60,1191340
65,65,75,58,1189894
65,64,74,59,1139657
65,65,73,59,1027822
64,64,72,59,891853
64,64,72,59,769367
64,64,70,58,667619
64,64,70,58,621268
63,64,70,58,601258
63,64,70,57,598701
63,64,70,57,628147
63,64,70,57,735923
63,64,70,57,932545
63,64,70,56,981372
65,64,72,56,955716
68,68,78,58,960369
70,71,79,60,976793
72,73,78,62,995574
74,76,82,63,1031039
75,77,82,64,1063664
76,78,84,65,1087844
75,77,84,64,1111114
74,75,81,63,1137099
72,73,82,62,1179778
69,70,76,62,1291063
68,69,74,60,1298471
67,69,72,59,1207375
66,68,72,58,1092252
65,66,71,57,943335
65,65,71,57,804073
63,64,70,54,693022
63,63,70,54,639438
62,63,70,53,614240
62,64,69,53,605846
62,63,68,52,629289
62,63,67,52,743041
62,63,68,51,933464
62,64,68,51,974592
64,65,72,50,940341
67,66,75,54,944741
69,70,78,57,970366
73,75,80,59,1003505
76,77,83,62,1053522
77,79,82,63,1093665
77,79,84,65,1125830
77,79,84,64,1155981
76,78,82,62,1181837
73,74,83,62,1207827
70,71,78,62,1304182
69,70,75,60,1315038
68,69,74,59,1230881
67,68,73,58,1103128
66,66,72,58,963319
66,66,72,57,808131
65,66,75,54,693008
65,66,75,54,639931
64,65,72,53,614749
63,64,71,53,610408
63,64,70,52,633152
63,64,71,52,734101
63,64,71,51,933465
64,65,72,51,971350
66,66,75,50,935816
69,70,78,56,943218
73,75,80,61,977666
77,79,82,65,1024516
78,79,84,68,1080935
79,79,86,67,1118219
79,80,85,67,1154924
79,80,85,67,1192282
78,79,84,66,1222982
75,76,83,66,1258097
72,73,79,65,1341971
71,71,77,65,1350187
69,70,76,64,1265438
69,69,75,64,1148632
68,69,75,63,994912
67,69,74,60,834266
67,67,74,59,722495
66,67,72,58,658860
65,66,72,58,627595
65,66,71,57,615922
65,66,72,56,634484
65,66,72,55,732168
65,65,73,55,925929
65,66,73,54,969080
68,68,76,53,942675
72,72,78,60,964873
75,75,79,66,1006808
77,79,82,71,1060064
79,80,84,73,1113671
80,81,85,73,1167676
80,81,85,73,1210486
80,81,86,71,1243861
79,80,85,70,1268692
76,76,84,67,1278441
72,73,78,59,1348782
71,72,75,64,1358459
70,71,74,64,1267026
68,70,73,63,1133922
67,68,73,62,977736
66,66,72,60,827680
65,65,72,60,705461
64,64,70,59,640485
63,64,70,57,609914
62,62,69,57,600622
62,63,70,56,619358
61,62,70,55,719234
60,61,70,55,912668
61,62,72,55,953746
65,65,73,60,924447
70,73,75,64,937321
74,76,78,61,975856
77,79,81,71,1033706
79,80,83,65,1103465
79,81,82,66,1164438
80,82,84,66,1199980
79,82,84,66,1224323
78,79,84,65,1234817
75,75,84,64,1221265
72,73,79,63,1254751
70,71,76,61,1236737
69,70,74,61,1144360
67,68,73,59,1054289
66,67,73,57,944022
65,66,72,55,827092
64,66,70,53,718432
64,66,68,51,655392
63,64,70,50,620920
63,64,68,49,606573
63,65,67,47,611615
62,66,70,46,643544
62,66,70,46,709126
62,66,69,45,812756
63,64,72,43,934798
65,67,74,52,1012325
66,67,77,54,1031531
68,69,77,57,1026279
70,72,79,59,1022024
72,73,81,62,1025800
72,73,82,63,1032168
72,73,81,63,1044049
71,72,82,61,1046885
68,68,83,57,1053639
64,64,75,52,1125446
62,63,74,49,1137370
60,61,71,48,1070948
59,60,71,45,1001625
58,60,69,44,921200
58,61,68,41,830760
56,61,67,40,746403
56,61,66,37,705116
55,60,66,38,690047
54,59,65,37,690959
54,58,65,37,707333
53,57,66,37,748832
53,57,66,36,828406
53,56,68,35,959395
56,57,68,32,1104025
60,62,72,39,1140066
63,66,75,45,1102608
66,70,75,50,1058737
69,72,78,54,1034362
70,70,79,57,1015932
71,70,79,59,1003929
70,70,79,61,1000765
69,68,78,61,1017957
65,64,79,60,1041522
62,62,73,56,1135335
60,61,69,53,1143746
59,60,68,51,1102431
58,57,66,50,1017820
57,56,65,49,931409
56,57,64,48,812966
56,56,61,44,712226
55,56,61,43,674459
54,55,61,43,666510
53,54,61,42,678912
53,53,60,41,729117
52,52,60,40,872301
51,52,61,40,1124793
51,52,63,39,1209444
53,53,66,38,1168252
55,55,68,44,1134610
57,57,70,49,1092863
59,56,72,53,1056403
61,58,73,55,1022257
62,61,73,57,976491
63,61,73,58,939745
63,63,73,59,931803
62,62,73,58,972382
59,59,74,55,1102187
55,55,67,50,1330756
53,54,63,45,1445007
51,52,61,40,1448829
49,51,59,40,1415087
49,50,59,39,1315401
49,50,56,37,1201171
48,49,56,42,1135339
47,47,54,40,1123694
46,46,54,39,1134707
45,44,54,37,1173133
44,45,56,38,1264872
44,43,59,37,1468130
43,42,57,36,1747989
44,44,61,36,1727673
48,49,64,36,1684551
51,51,67,42,1578323
55,57,68,43,1435051
57,58,68,44,1286236
58,59,72,45,1195913
58,60,73,43,1111529
59,59,74,45,1066946
58,57,73,44,1086103
57,57,73,44,1158699
56,57,71,44,1310125
54,54,67,43,1502496
54,53,64,43,1555832
52,52,64,43,1523739
52,53,63,43,1442497
51,52,63,43,1312897
50,51,61,43,1179743
50,50,62,42,1096690
50,51,64,42,1068391
49,51,65,41,1061096
50,52,64,43,1071479
51,52,64,43,1114945
52,52,66,43,1261120
52,52,66,41,1491455
53,54,68,40,1499912
57,59,70,40,1342372
62,66,72,36,1192207
64,70,74,42,1087808
67,72,76,46,1019458
69,73,77,48,981564
70,73,80,50,954819
71,73,80,52,947687
70,73,79,52,956433
70,73,78,51,994671
68,70,76,52,1075742
67,69,73,51,1202622
66,69,73,50,1222597
66,67,72,50,1160637
65,67,70,50,1064240
65,66,70,49,922388
64,66,69,46,787418
64,66,68,48,684969
64,65,67,43,636620
63,65,67,43,618414
63,65,73,43,619412
63,64,69,42,650469
63,64,70,42,758893
63,64,71,42,954908
63,64,71,42,1000956
64,68,73,41,974121
66,70,76,46,983183
66,70,79,49,998059
66,66,80,49,1011241
65,64,82,47,1007315
64,63,82,46,992541
63,63,82,46,984379
62,61,80,47,992849
60,59,80,46,1042527
58,59,81,46,1138673
55,55,73,43,1311047
54,54,69,43,1398423
52,52,66,42,1394384
50,52,64,40,1341815
49,50,63,40,1257193
47,47,62,39,1156620
45,45,59,37,1098397
44,45,57,35,1104265
43,44,57,35,1135483
42,42,56,33,1187353
41,41,54,32,1285599
40,40,52,32,1502388
39,40,50,32,1811476
40,41,50,33,1827819
43,43,51,38,1751555
47,46,56,43,1581494
51,50,59,47,1391534
54,55,62,50,1227423
57,57,63,46,1107214
58,60,65,45,1014079
60,61,67,45,955269
61,62,68,46,932226
60,61,68,46,962522
58,58,69,46,1052599
54,54,65,44,1242424
53,53,62,46,1325065
52,52,61,44,1327700
51,51,60,43,1310314
51,52,60,44,1257100
50,52,59,39,1168128
49,51,57,39,1081093
48,51,57,37,1041746
48,51,57,37,1036465
48,50,56,37,1048549
48,50,57,35,1083617
48,50,59,35,1159643
47,50,61,34,1281369
49,51,59,34,1427080
54,56,63,39,1461856
61,62,70,45,1340293
65,66,74,50,1181263
68,69,75,54,1063271
69,71,75,58,991590
70,72,77,61,950400
71,72,76,63,925089
70,72,75,61,920673
69,70,75,61,937900
67,68,75,59,971208
65,65,73,58,1066657
63,63,72,54,1099088
63,62,72,52,1045051
62,61,72,51,979434
61,61,71,50,904610
60,62,71,41,811988
60,61,70,44,724587
61,63,70,43,680004
61,63,70,42,659115
60,63,70,41,654517
60,62,71,40,663702
60,62,72,39,694484
61,63,72,38,758860
61,63,72,37,862021
63,64,72,36,986234
66,67,75,44,1045233
69,70,77,51,1029321
70,71,78,56,1011128
71,73,78,61,1003429
72,73,79,64,992137
71,73,78,65,973490
71,71,77,64,961956
69,69,76,63,984051
67,68,76,61,1042063
65,65,73,60,1154414
63,63,70,57,1181872
62,62,69,54,1126674
61,61,68,52,1031326
60,59,68,51,900791
59,60,67,50,772840
58,59,62,44,682780
58,58,61,42,648371
57,58,61,41,640898
56,58,61,40,650910
55,57,60,38,696490
55,58,61,37,839350
54,57,61,37,1082639
55,56,61,36,1148303
56,57,64,34,1101481
59,61,67,43,1047617
63,64,69,50,1001596
64,65,72,56,961321
67,67,75,58,941192
68,70,75,61,917853
69,70,76,61,911449
69,69,74,63,920848
68,68,74,62,951762
65,66,74,58,1020059
60,61,69,50,1173149
57,59,67,46,1248706
56,58,64,44,1211684
53,56,63,41,1132727
52,55,62,39,1025786
52,55,61,39,919372
50,54,61,38,851392
49,54,60,37,842369
49,52,59,38,863219
48,50,58,36,899417
48,48,57,35,974405
47,48,59,34,1168530
47,50,59,35,1472926
48,52,61,36,1540046
53,54,63,37,1401142
58,57,67,43,1230739
62,63,72,47,1103556
65,66,75,51,1010814
67,68,74,55,958606
68,68,75,57,921690
68,67,76,59,900934
67,67,75,60,903217
66,66,75,60,947473
64,63,75,57,1047600
60,61,70,52,1220339
57,59,67,46,1299252
56,58,66,44,1284608
55,56,66,42,1219217
54,54,66,42,1103095
53,56,63,42,984855
51,54,61,40,909052
50,54,61,39,900695
49,52,60,37,920959
49,50,58,39,965579
49,50,57,40,1041604
49,48,59,40,1219927
49,50,59,40,1485628
50,51,61,39,1516775
52,52,61,38,1421941
54,54,68,44,1356407
56,55,70,48,1298474
58,57,71,50,1240388
59,58,72,50,1184993
60,59,73,52,1145650
60,58,73,52,1127222
60,57,73,54,1142662
59,56,73,52,1223598
58,55,74,52,1356593
56,54,69,50,1502166
55,53,67,50,1525892
55,53,65,50,1485471
54,53,65,49,1401243
54,53,64,48,1248349
53,53,61,48,1093931
52,53,58,44,987892
51,52,56,43,950175
51,53,55,42,942784
51,52,55,41,954345
51,52,55,41,1002651
50,52,57,40,1155592
50,52,57,40,1396275
49,51,57,39,1434988
52,52,59,38,1343972
55,56,59,45,1234006
58,59,62,51,1125325
62,63,66,55,1023009
64,64,68,56,950832
65,66,71,56,906581
66,67,73,56,882161
66,68,73,55,880135
65,66,73,55,914178
63,64,74,55,980602
59,61,69,52,1135605
57,57,65,46,1229936
56,56,64,43,1234259
55,55,63,44,1185319
54,54,63,42,1092248
54,54,62,49,982817
52,53,63,45,910275
51,51,62,43,888367
51,51,61,42,898408
50,51,58,40,927483
49,50,57,37,992616
49,50,59,40,1158367
49,50,59,39,1414546
51,52,61,38,1465738
56,57,67,37,1326810
62,63,73,45,1173196
67,68,75,51,1048187
69,70,77,56,973490
71,72,77,59,944025
72,73,79,60,924696
72,72,79,62,920833
72,72,79,63,927753
71,71,79,62,951232
68,68,80,58,987627
65,65,76,57,1087882
62,63,73,54,1119212
61,62,71,51,1071489
60,60,70,50,1007438
59,59,69,48,929259
58,59,68,41,831994
58,57,67,46,747913
57,57,66,44,708354
56,57,65,43,694243
56,58,65,42,696300
56,57,65,41,714594
56,57,65,40,766524
56,56,64,39,859524
56,57,64,38,988864
57,58,66,37,1106845
59,59,69,46,1165892
62,63,73,51,1159045
64,65,75,57,1117741
66,67,75,59,1070445
67,69,73,61,1020934
68,70,74,63,975149
69,69,76,64,942694
68,67,76,65,946775
66,66,77,63,973844
62,62,70,54,1075856
59,59,67,49,1137165
57,57,65,48,1108179
54,56,64,44,1074748
54,54,63,46,1022536
54,55,61,46,948082
53,54,60,45,870680
52,52,60,44,840573
52,52,59,39,838097
50,53,58,38,856841
49,52,59,36,900621
48,51,59,34,985600
46,47,57,32,1135788
47,48,59,34,1359954
52,52,62,36,1451177
57,58,64,44,1363330
61,62,67,50,1210434
64,64,68,54,1082419
66,67,70,59,1014788
68,68,72,62,965793
68,69,73,64,930587
69,69,73,66,914185
68,68,72,64,922360
65,65,73,61,987530
58,59,66,50,1120465
54,55,63,46,1226038
53,54,61,45,1232472
51,53,61,41,1204706
49,52,58,39,1135790
48,51,57,38,1067407
47,49,56,37,1025408
46,48,53,35,1039360
46,47,53,34,1076654
45,46,53,33,1122953
44,45,54,32,1211360
45,47,55,35,1383837
45,46,56,38,1593406
46,46,59,39,1691583
51,50,66,38,1665364
55,54,67,45,1565327
59,57,69,50,1366534
61,61,70,54,1210345
63,64,72,55,1098760
64,64,73,55,1015599
65,65,74,55,965783
65,65,74,54,948204
64,64,73,53,977601
62,63,72,51,1065524
57,57,67,47,1240546
55,55,64,44,1368779
53,52,63,41,1364279
51,51,63,40,1309174
50,50,63,40,1209081
49,50,63,39,1108331
49,48,63,39,1053068
48,48,63,37,1057469
47,46,63,37,1084525
48,46,63,37,1130531
47,45,64,35,1214250
47,48,64,36,1413858
47,46,64,37,1681378
48,47,64,36,1657861
55,54,66,46,1525783
61,63,68,54,1281050
65,66,71,59,1104130
68,69,72,63,1002436
70,70,74,66,948642
70,72,75,65,912466
71,72,75,65,898179
71,72,76,64,903682
70,71,75,63,941080
68,67,75,62,1004723
64,64,71,59,1134644
61,61,68,53,1223413
60,62,68,50,1178192
